0.0, 138.6
0.1, 138.6
0.2, 138.6
0.3, 138.6
0.4, 138.6
0.5, 138.6
0.6, 138.6
0.7, 138.6
0.8, 138.6
0.9, 138.6
1.0, 138.6
1.1, 138.6
1.2, 220
1.3, 220
1.4, 220
1.5, 220
1.6, 239.9
1.7, 239.9
1.8, 239.9
1.9, 239.9
2.0, 239.9
2.1, 239.9
2.2, 261.6
2.3, 261.6
2.4, 261.6
2.5, 261.6
2.6, 261.6
2.7, 261.6
2.8, 261.6
2.9, 261.6
3.0, 261.6
3.1, 261.6
3.2, 261.6
3.3, 261.6
3.4, 261.6
3.5, 261.6
3.6, 261.6
3.7, 277.2
3.8, 277.2
3.9, 277.2
4.0, 277.2
4.1, 277.2
4.2, 277.2
4.3, 277.2
4.4, 277.2
4.5, 277.2
4.6, 277.2
4.7, 277.2
4.8, 277.2
4.9, 277.2
5.0, 277.2
5.1, 277.2
5.2, 277.2
5.3, 277.2
5.4, 277.2
5.5, 277.2
5.6, 277.2
5.7, 277.2
5.8, 277.2
5.9, 277.2
6.0, 277.2
6.1, 277.2
6.2, 277.2
6.3, 277.2
6.4, 277.2
6.5, 277.2
6.6, 277.2
6.7, 277.2
6.8, 277.2
6.9, 277.2
7.0, 277.2
7.1, 277.2
7.2, 277.2
7.3, 277.2
7.4, 277.2
7.5, 277.2
7.6, 277.2
7.7, 277.2
7.8, 277.2
7.9, 277.2
8.0, 277.2
8.1, 277.2
8.2, 277.2
8.3, 277.2
8.4, 277.2
8.5, 277.2
8.6, 277.2
8.7, 277.2
8.8, 277.2
8.9, 277.2
9.0, 277.2
9.1, 277.2
9.2, 277.2
9.3, 277.2
9.4, 277.2
9.5, 277.2
9.6, 277.2
9.7, 277.2
9.8, 277.2
9.9, 277.2
10.0, 277.2
10.1, 277.2
10.2, 277.2
10.3, 277.2
10.4, 277.2
10.5, 277.2
10.6, 277.2
10.7, 277.2
10.8, 277.2
10.9, 277.2
11.0, 277.2
11.1, 277.2
11.2, 277.2
11.3, 277.2
11.4, 277.2
11.5, 277.2
11.6, 277.2
11.7, 277.2
11.8, 277.2
11.9, 277.2
12.0, 277.2
12.1, 277.2
12.2, 277.2
12.3, 277.2
12.4, 277.2
12.5, 277.2
12.6, 277.2
12.7, 277.2
